"Av" "Sd" "Sk" "Ku" "10" "90"
"Market" 14.41 15.2 0.05 3.05 -4.29 7.14
"Size" 2.96 11.22 -0.11 3.02 -3.87 4.4
"Value" 0.52 10.26 0.08 3.42 -3.65 4.19
"Momentum" 5.61 17.01 0 2.78 -5.32 6.85
"Investment" -0.25 6.67 0.08 3.39 -2.45 2.37
"Profitability" 1.95 9.65 0.08 3.49 -3.37 3.5
"Value Everywhere" 0.43 6.04 0 2.78 -2.25 2.21
"Momentum Everywhere" 4.12 7.34 -0.22 2.95 -2.52 2.91
"Term" -0.12 0.91 -0.06 3.1 -0.34 0.34
"Default" -0.22 0.75 -0.06 2.95 -0.28 0.26
"Bond Straddle" 38.05 59.62 -0.16 2.64 -19.3 24.62
"Commodity Straddle" 6.4 50.67 0.24 3 -17.5 19.63
"Currency Straddle" 30.51 68.35 0.12 3.1 -21.66 26.95
"Iliquidity" 8.73 12.94 -0.07 3 -4.26 5.68
"Betting Against Beta" 5.03 14.34 -0.09 2.65 -5.25 5.48
"Variance" 45.65 22.74 0.09 3.16 -4.31 12.01
"Carry" 8.56 5.03 -0.11 3.09 -1.21 2.61
"Time-Series Momentum" 11.92 12.53 -0.19 3.14 -3.46 5.45
