"Av" "Sd" "Sk" "Ku" "10" "90"
"Market" 8.81 15.48 -0.64 4.26 -5.15 6.02
"Size" 1.61 10.83 0.38 7.54 -3.49 3.69
"Value" 0.2 10.88 0.05 5.84 -3.3 3.47
"Momentum" 4.67 17.15 -1.42 12.88 -5.07 5.5
"Investment" 2.11 7.04 0.67 5.09 -2.14 2.7
"Profitability" 3.77 9.38 -0.47 13.49 -2.03 2.9
"Value Everywhere" 1.3 6.19 -0.64 12.25 -1.72 1.76
"Momentum Everywhere" 3.26 7.55 -0.3 5.46 -2.25 2.69
"Term" -0.18 0.89 -0.03 4.22 -0.35 0.29
"Default" 0.01 0.77 1.9 17.66 -0.2 0.19
"Bond Straddle" 16 57.86 -1.85 8.99 -19.68 17.73
"Commodity Straddle" 2.99 50.38 -1.32 6.07 -19.71 15.74
"Currency Straddle" 11.27 69.02 -1.56 6.64 -23.36 20.15
"Iliquidity" 6.52 12.97 -0.27 4.49 -3.6 4.99
"Betting Against Beta" 8.58 13.77 -0.36 6.1 -3.58 5.21
"Variance" 38.1 23.8 -4.57 29.76 -1.03 7.61
"Carry" 6.85 4.96 0.01 3.98 -1.1 2.34
"Time-Series Momentum" 11.11 12.56 0.16 3.16 -3.54 5.71
